Kq,MaximumRealPole,ShortPeriodDampingRatio,ShortPeriodNaturalFrequency_rad_s,Stable
-0.0538461538461539,-0.00247674578821592,0.357812326800242,2.68941029136831,1
-0.0500000000000002,-0.00247810474845261,0.351074239738111,2.6853687138796,1
-0.0461538461538462,-0.0024795163031602,0.344316603563992,2.68132103726015,1
-0.0423076923076924,-0.00248098133316357,0.337539286381996,2.67726723546012,1
-0.0384615384615384,-0.00248250073484911,0.330742154976378,2.67320728226973,1
-0.0346153846153847,-0.00248407542047275,0.32392507479447,2.66914115131845,1
-0.0307692307692309,-0.00248570631847586,0.317087909929359,2.66506881607407,1
-0.0269230769230769,-0.0024873943738083,0.31023052310229,2.66099024984181,1
-0.0230769230769232,-0.00248914054825768,0.303352775644801,2.65690542576348,1
-0.0192307692307693,-0.00249094582078724,0.296454527480574,2.65281431681661,1
-0.0153846153846154,-0.00249281118788067,0.289535637107015,2.64871689581354,1
-0.0115384615384617,-0.00249473766389505,0.282595961576536,2.64461313540067,1
-0.00769230769230778,-0.00249672628142093,0.27563535647755,2.64050300805753,1
-0.00384615384615394,-0.00249877809165192,0.268653675915166,2.63638648609601,1
0,-0.00250089416476163,0.261650772491591,2.63226354165953,1
0.00384615384615383,-0.0025030755902893,0.254626497286206,2.62813414672223,1
0.00769230769230744,-0.00250532347753503,0.247580699835348,2.6239982730882,1
0.0115384615384615,-0.00250763895596297,0.240513228111764,2.61985589239067,1
0.0153846153846153,-0.00251002317561427,0.233423928503739,2.61570697609131,1
0.0192307692307692,-0.00251247730752999,0.226312645793903,2.6115514954794,1
0.023076923076923,-0.00251500254418279,0.219179223137693,2.60738942167119,1
0.0269230769230768,-0.00251760009991933,0.212023502041479,2.60322072560912,1
0.0307692307692307,-0.00252027121141256,0.204845322340345,2.59904537806119,1
0.0346153846153845,-0.00252301713812476,0.197644522175509,2.59486334962022,1
0.0384615384615385,-0.00252583916278105,0.190420937971393,2.59067461070326,1
0.0423076923076922,-0.00252873859185421,0.183174404412318,2.58647913155093,1
0.046153846153846,-0.00253171675606075,0.175904754418833,2.58227688222682,1
0.05,-0.00253477501086856,0.168611819123665,2.57806783261691,1
0.0538461538461537,-0.00253791473701657,0.161295427847285,2.57385195242902,1
0.0576923076923077,-0.00254113734104636,0.153955408073072,2.56962921119228,1
0.0615384615384615,-0.00254444425584699,0.146591585422093,2.56539957825662,1
0.0653846153846152,-0.00254783694121185,0.139203783627469,2.56116302279232,1
0.0692307692307692,-0.00255131688440935,0.131791824508328,2.55691951378955,1
0.073076923076923,-0.00255488560076716,0.124355527943344,2.55266902005798,1
0.0769230769230769,-0.00255854463426981,0.116894711843838,2.54841151022644,1
0.0807692307692307,-0.00256229555817135,0.10940919212646,2.54414695274251,1
0.0846153846153845,-0.00256613997562191,0.101898782685412,2.53987531587231,1
0.0884615384615384,-0.00257007952031003,0.0943632953642384,2.5355965677002,1
0.0923076923076922,-0.0025741158571197,0.0868025399271412,2.53131067612856,1
0.0961538461538463,-0.00257825068280412,0.0792163240298449,2.52701760887765,1
0.0999999999999999,-0.00258248572667492,0.0716044531899825,2.52271733348551,1
0.103846153846154,-0.00258682275130837,0.0639667307569949,2.51840981730781,1
0.107692307692308,-0.00259126355326902,0.0563029578815496,2.51409502751791,1
0.111538461538461,-0.00259580996385063,0.0486129334844574,2.50977293110683,1
0.115384615384615,-0.00260046384983531,0.0408964542250774,2.50544349488338,1
0.119230769230769,-0.00260522711427123,0.0331533144692186,2.50110668547429,1
0.123076923076923,-0.00261010169726928,0.025383306256506,2.49676246932442,1
0.126923076923077,-0.00261508957681941,0.0175862192672183,2.49241081269698,1
0.130769230769231,-0.00262019276962711,0.00976184078858859,2.48805168167398,1
0.134615384615385,-0.0026254133319706,0.00190995568054536,2.48368504215649,1
0.138461538461538,0.0148006271466415,-0.00596965365910026,2.47931085986524,0
0.142307692307692,0.0343451042525809,-0.0138772073300392,2.4749291003411,0
0.146153846153846,0.0538897051432183,-0.0218129279654268,2.47053972894573,0
0.15,0.0734344320421267,-0.0297770407684352,2.46614271086233,0
